state	OR	ORplusSister
80250000	1986.127313	1807.327027
80300000	1978.228430	1791.391027
80350000	1982.092496	1828.504265
80400000	1985.032965	1817.760070
80450000	1990.856892	1855.879939
80500000	1992.570476	1907.775053
80550000	1989.602775	1878.888433
80600000	1980.407220	1871.296582
80650000	1986.489652	1861.603182
80700000	1984.997992	1855.707368
80750000	1982.167549	1823.176882
80800000	1992.651635	1870.541038
80850000	1990.499518	1856.679368
80900000	1987.327040	1849.728828
80950000	1983.471836	1854.023749
81000000	1984.176932	1861.820236
81050000	1984.277692	1840.628933
81100000	1985.682359	1846.992547
81150000	1976.663130	1845.306774
81200000	1986.660138	1849.984905
